| Line | Method | Route | Function | Protection |
| 2840 | PUT | /announcements/{announcement_id} | update_announcement | require_role(["admin", "faculty"] |
| 2881 | DELETE | /api/announcements/{announcement_id} | delete_announcement | require_role(["admin", "faculty"] |
| 2882 | DELETE | /announcements/{announcement_id} | delete_announcement | require_role(["admin", "faculty"] |
| 2909 | GET | /api/faculty/{faculty_id}/workload | get_faculty_workload | get_current_user |
| 2910 | GET | /faculty/{faculty_id}/workload | get_faculty_workload | get_current_user |
| 2971 | GET | /api/audit-logs | get_audit_logs | require_role(["admin", "super_admin"] |
| 2972 | GET | /audit-logs | get_audit_logs | require_role(["admin", "super_admin"] |
| 3008 | GET | /api/admin/dashboard-stats | get_admin_dashboard_stats | require_role(["admin", "super_admin"] |
| 3009 | GET | /admin/dashboard-stats | get_admin_dashboard_stats | require_role(["admin", "super_admin"] |
| 3092 | GET | /api/academic-terms | get_academic_terms | get_current_user |
| 3093 | GET | /academic-terms | get_academic_terms | get_current_user |
| 3109 | POST | /api/academic-terms | create_academic_term | require_role(["admin", "super_admin"] |
| 3110 | POST | /academic-terms | create_academic_term | require_role(["admin", "super_admin"] |
| 3128 | PUT | /api/academic-terms/{term_id} | update_academic_term | require_role(["admin", "super_admin"] |
| 3129 | PUT | /academic-terms/{term_id} | update_academic_term | require_role(["admin", "super_admin"] |
| 3147 | DELETE | /api/academic-terms/{term_id} | delete_academic_term | require_role(["admin", "super_admin"] |
| 3148 | DELETE | /academic-terms/{term_id} | delete_academic_term | require_role(["admin", "super_admin"] |
| 3162 | GET | /api/admin/settings | get_admin_settings | require_role(["admin"] |
| 3163 | GET | /admin/settings | get_admin_settings | require_role(["admin"] |
| 3187 | POST | /api/admin/settings | update_admin_settings | require_role(["admin"] |
| 3188 | POST | /admin/settings | update_admin_settings | require_role(["admin"] |
| 3223 | GET | /api/v1/branding | get_branding | None |
| 3246 | POST | /api/v1/admin/branding | update_branding | require_role(["admin"] |
| 3260 | GET | /api/v1/profile | get_my_profile | get_current_user |
| 3303 | POST | /api/v1/profile/update | update_my_profile | get_current_user |
| 3350 | POST | /api/v1/profile/avatar | update_my_avatar | get_current_user |
| 3368 | POST | /api/v1/profile/change-password | change_my_password | get_current_user |
| 3421 | GET | /api/v1/admin/reports/departments | get_report_departments | require_role(["admin"] |
| 3460 | GET | /api/v1/admin/reports/enrollments | get_report_enrollments | require_role(["admin"] |
| 3516 | GET | /api/v1/admin/reports/active-sessions | get_report_active_sessions | require_role(["admin"] |
| 3618 | GET | /faculty/by-email/{email} | get_faculty_by_email | get_current_user |
| 3679 | GET | /faculty/mapping-audit | get_mapping_audit | require_role(["admin", "super_admin"] |
| 3765 | GET | /attendance/records | get_attendance_records | get_current_user |
| 3807 | POST | /attendance/save | save_attendance | get_current_user |
| 3855 | GET | /attendance/history | get_attendance_history | get_current_user |
| 3890 | GET | /attendance/monthly-report | get_monthly_attendance_report | get_current_user |
| 3961 | GET | /faculty/{faculty_id}/students | get_faculty_students | get_current_user |
| 4005 | GET | /student/{student_id}/profile | get_student_profile_v1 | get_current_user |
| 4097 | GET | /assignments | get_assignments | get_current_user |
| 4128 | POST | /assignments | create_assignment | get_current_user |
| 4172 | PUT | /assignments/{assignment_id} | update_assignment | get_current_user |
| 4206 | DELETE | /assignments/{assignment_id} | delete_assignment | get_current_user |
